,year,selling_price,km_driven,mileage,engine,max_power,fuel_Petrol,seller_type_Individual,transmission_Manual,owner_Second Owner,owner_Third and above owners,seat_category_more than 5
844,2019,550000,15000,18.9,1197.0,81.86,True,True,True,False,False,False
845,2011,200000,70000,16.6,1388.0,68.0,True,True,True,True,False,False
846,2016,327000,20000,18.15,1198.0,82.0,True,True,True,False,False,True
847,2016,425000,15000,19.81,1086.0,68.05,True,True,True,False,False,False
848,2017,620000,107000,28.4,1248.0,74.02,False,True,True,False,False,False
849,2011,130000,54000,18.4,1248.0,75.0,False,True,True,True,False,False
850,2009,120000,58000,19.7,796.0,46.3,True,True,True,False,False,False
851,2011,400000,110000,12.05,2179.0,120.0,False,True,True,True,False,True
852,2007,185000,90000,16.8,1493.0,110.0,False,True,True,False,True,False
853,2015,204999,43000,20.3,998.0,68.05,True,True,True,True,False,False
854,2017,625000,43000,28.4,1248.0,74.02,False,True,True,False,False,False
855,2013,600000,60000,20.77,1248.0,88.8,False,True,True,False,False,True
856,2011,150000,150000,12.8,1396.0,85.0,True,True,True,False,False,False
858,2013,229999,46000,18.2,1199.0,84.8,True,True,True,False,False,False
859,2018,220000,10000,16.8,796.0,34.2,True,True,True,False,False,True
860,2016,576000,35000,18.6,1197.0,81.83,True,True,True,False,False,False
861,2016,265000,50000,25.17,799.0,53.3,True,True,True,False,False,False
863,2011,300000,80000,22.32,1582.0,126.32,False,True,True,False,False,False
864,2017,420000,110000,24.7,1047.0,69.0,False,True,True,False,False,False
865,2015,750000,14000,20.77,1248.0,88.76,False,True,True,False,False,True
867,2017,290000,28000,25.17,799.0,53.3,True,True,True,False,False,False
868,2011,160000,57000,21.1,814.0,55.2,True,True,True,False,False,False
869,2017,695000,50000,26.59,1248.0,74.0,False,True,True,False,False,False
871,2015,1050000,60000,21.43,1364.0,87.2,False,True,True,False,False,False
872,2013,400000,70000,18.5,1197.0,82.85,True,True,True,False,False,False
873,2016,500000,40000,18.6,1197.0,81.83,True,True,True,False,False,False
874,2010,150000,120000,21.12,1248.0,88.8,False,True,True,True,False,False
875,2016,400000,140000,14.02,2179.0,118.3,False,True,True,True,False,True
876,2010,120000,100000,17.0,1405.0,70.0,False,True,True,True,False,False
877,2014,480000,120000,14.02,2179.0,118.3,False,True,True,True,False,True
878,2013,200000,120000,19.09,1405.0,69.01,False,True,True,True,False,False
879,2012,300000,64000,17.8,1399.0,67.0,False,True,True,True,False,False
880,2015,350000,25000,23.1,998.0,67.04,True,True,True,False,False,False
881,2019,580000,12000,20.0,999.0,72.0,True,True,True,False,False,True
882,2012,200000,70000,25.44,936.0,57.6,False,True,True,True,False,False
883,2016,750000,120000,11.0,2179.0,120.0,False,True,True,False,False,False
884,2016,261000,90000,25.17,799.0,53.3,True,True,True,False,False,False
885,2015,371000,40000,18.2,1199.0,82.4,True,True,True,False,False,False
886,2010,320000,300000,13.6,2523.0,63.0,False,True,True,False,True,True
887,2012,204999,120000,19.09,1396.0,69.0,False,True,True,True,False,False
888,2003,110000,90000,13.2,1495.0,94.0,True,True,True,True,False,False
889,2009,150000,100000,17.7,1399.0,68.0,False,True,True,False,True,False
890,2016,625000,90000,15.96,2523.0,62.1,False,True,True,True,False,True
892,2015,900000,168000,20.6,1968.0,141.0,False,True,True,False,False,False
893,2010,180000,110000,20.0,1399.0,68.0,False,True,True,True,False,False
894,2010,421000,120000,13.6,2523.0,63.0,False,True,True,True,False,True
896,2017,900000,40000,25.5,1498.0,98.6,False,True,True,False,False,False
897,2006,165000,110000,17.7,1497.0,78.0,True,True,True,True,False,False
898,2010,270000,100000,21.9,1396.0,90.0,False,True,True,False,True,False
899,2017,750000,40000,24.3,1248.0,88.5,False,True,True,False,False,False
900,2019,750000,30000,18.6,1197.0,81.86,True,True,True,False,False,False
901,2002,40000,80000,16.1,796.0,37.0,True,True,True,False,True,False
902,2011,190000,90000,20.0,1399.0,68.0,False,True,True,True,False,False
903,2009,395000,200000,12.8,2494.0,102.0,False,True,True,False,True,True
904,2010,800000,125000,11.5,2982.0,171.0,False,True,True,True,False,True
905,2011,315000,80000,17.0,1197.0,80.0,True,True,True,False,False,False
907,2013,409999,90000,23.59,1364.0,67.04,False,True,True,False,False,False
909,2013,340000,70000,18.5,1197.0,82.85,True,True,True,False,False,False
910,2015,270000,43000,21.1,814.0,55.2,True,True,True,False,False,False
911,2017,280000,80000,22.95,1248.0,74.0,False,True,True,False,False,False
912,2012,130000,60000,22.3,1248.0,74.0,False,True,True,False,False,False
913,2014,260000,18945,21.1,814.0,55.2,True,True,True,False,False,False
914,2018,710000,70000,24.0,1186.0,73.97,False,True,True,False,False,False
915,2013,204999,100000,15.1,1196.0,73.0,True,True,True,False,True,True
916,2017,300000,60000,20.62,1198.0,67.0,True,True,True,False,False,True
917,2009,180000,144000,19.3,1248.0,73.9,False,True,True,True,False,False
918,2016,700000,120000,18.49,1493.0,100.0,False,True,True,False,False,True
919,2012,320000,107825,21.9,1396.0,90.0,False,True,True,True,False,False
920,2020,370000,15000,22.05,796.0,47.3,True,True,True,False,False,False
921,2018,340000,10000,25.17,799.0,53.3,True,True,True,False,False,False
922,2019,1040000,1620,19.01,1462.0,103.2,True,True,True,False,False,True
923,2018,750000,30000,21.19,1396.0,88.76,False,True,True,False,False,False
924,2018,600000,70000,18.49,2179.0,120.0,False,True,True,False,False,True
925,2016,550000,70000,15.96,2523.0,63.0,False,True,True,False,False,True
926,2013,600000,95000,12.99,2494.0,100.57,False,True,True,True,False,True
927,2017,550000,50000,24.7,1047.0,69.0,False,True,True,False,False,False
928,2015,750000,160000,25.1,1498.0,98.6,False,True,True,False,False,False
929,2019,450000,10000,20.3,1086.0,68.0,True,True,True,False,False,False
930,2012,400000,100000,20.77,1248.0,88.76,False,True,True,False,True,True
931,2016,520000,50000,25.2,1248.0,74.0,False,True,True,True,False,False
932,2013,199000,60000,20.2,998.0,67.1,True,True,True,True,False,False
933,2012,150000,110000,25.44,936.0,57.6,False,True,True,False,False,False
934,2016,540000,80000,21.19,1396.0,88.73,False,True,True,False,True,False
935,2011,250000,85000,21.5,1248.0,88.8,False,True,True,True,False,False
936,2010,200000,90000,18.9,1061.0,67.0,True,True,True,True,False,False
937,2011,130000,90000,25.0,1396.0,69.0,False,True,True,True,False,False
938,2007,90000,90000,16.1,796.0,37.0,True,True,True,False,False,False
939,2012,450000,120000,22.32,1582.0,126.32,False,True,True,True,False,False
940,2009,280000,120000,18.1,1493.0,110.0,False,True,True,False,False,False
941,2007,280000,160000,13.93,2956.0,138.1,False,True,True,True,False,True
942,2006,120000,141000,17.3,993.0,60.0,True,True,True,True,False,False
943,2008,290000,100000,17.8,1248.0,75.0,False,True,True,True,False,False
944,2019,1000000,15000,22.1,1396.0,88.7,False,True,True,False,False,False
945,2012,415000,108000,19.3,1248.0,73.9,False,True,True,False,False,False
946,2012,415000,108000,23.4,1248.0,74.0,False,True,True,False,False,False
947,2015,240000,55000,25.44,936.0,56.3,False,True,True,False,False,False
948,2010,250000,37944,18.4,1248.0,75.0,False,True,True,False,False,False
949,2011,175000,90400,20.0,1399.0,68.0,False,True,True,False,False,False
950,2008,220000,85000,16.8,1493.0,110.0,False,True,True,True,False,False
951,2003,85000,120000,20.8,1527.0,58.0,False,True,True,False,True,False
952,2019,675000,5000,21.21,1197.0,81.8,True,True,True,False,False,False
953,2016,535000,50000,19.87,1461.0,83.8,False,True,True,False,False,False
954,2019,675000,5000,20.0,999.0,72.0,True,True,True,False,False,True
955,2016,800000,90000,24.3,1248.0,88.5,False,True,True,False,False,False
956,2012,425000,96000,20.77,1248.0,88.8,False,True,True,True,False,True
957,2011,150000,80000,15.37,1196.0,73.0,True,True,True,False,True,False
958,2007,90000,60000,18.2,1061.0,64.0,True,True,True,True,False,False
959,2015,850000,90000,15.1,2179.0,140.0,False,True,True,False,False,True
960,2008,330000,193623,12.8,2494.0,102.0,False,True,True,True,False,True
961,2017,850000,63186,22.54,1396.0,88.73,False,True,True,False,False,False
962,2008,305000,219000,13.6,2523.0,63.0,False,True,True,True,False,True
963,2013,910000,110000,12.99,2494.0,100.0,False,True,True,True,False,True
964,2012,1100000,151000,12.8,2494.0,102.0,False,True,True,False,False,True
965,2019,675000,5000,21.4,1197.0,83.1,True,True,False,False,False,False
966,2010,150000,91500,19.7,796.0,46.3,True,True,True,False,False,False
967,2015,550000,23000,25.2,1248.0,74.0,False,True,True,False,False,False
968,2012,350000,40000,20.54,1598.0,103.6,False,True,True,False,False,False
969,2012,300000,70000,23.2,1248.0,73.94,False,True,True,False,False,False
971,2014,611000,90000,14.0,2523.0,75.0,False,True,True,True,False,True
972,2016,400000,68000,19.4,1198.0,86.8,True,True,True,False,False,False
973,2013,700000,120000,22.7,1582.0,126.24,False,True,True,False,False,False
974,2013,300000,65000,22.1,1248.0,76.9,False,True,True,False,False,False
975,2005,65000,85000,15.3,1341.0,83.0,True,True,True,False,False,False
976,2011,200000,94000,18.9,998.0,67.1,True,True,True,False,True,False
977,2015,650000,100000,22.54,1396.0,88.73,False,True,True,False,False,False
978,2015,650000,80000,22.54,1396.0,88.73,False,True,True,False,False,False
979,2013,350000,80000,22.07,1199.0,73.9,False,True,True,False,True,False
980,2011,75000,140500,17.88,1396.0,52.8,False,True,True,False,True,False
981,2010,240000,143000,17.5,1298.0,85.8,True,True,True,False,False,False
982,2013,240000,60000,20.92,998.0,67.1,True,True,True,False,False,False
983,2011,180000,120000,18.4,1248.0,75.0,False,True,True,True,False,False
984,2014,900000,80000,13.01,2199.0,194.3,False,True,False,True,False,True
985,2014,425000,63000,18.06,2523.0,63.0,False,True,True,True,False,True
986,2009,95000,120000,18.0,995.0,62.0,True,True,True,False,True,False
987,2018,811000,100000,28.4,1248.0,74.02,False,True,True,False,False,False
988,2018,1100000,60000,17.0,1591.0,121.3,True,True,True,False,False,False
989,2013,600000,90000,13.58,2499.0,72.4,False,True,True,False,False,True
990,2014,550000,50000,20.77,1248.0,88.76,False,True,True,True,False,True
991,2015,715000,70000,15.4,2179.0,120.0,False,True,True,False,False,True
993,2006,100000,120000,16.1,1405.0,70.0,False,True,True,False,True,False
994,2013,500000,195000,14.0,2523.0,75.0,False,True,True,False,False,True
995,2013,350000,40000,20.51,998.0,67.04,True,True,True,False,False,False
996,2008,100000,40000,16.8,1405.0,62.0,False,True,True,False,False,False
997,2012,325000,120000,13.93,2179.0,138.03,False,True,True,False,False,True
998,2012,220000,360003,18.9,998.0,67.1,True,True,True,True,False,False
1000,2016,330000,20000,25.17,799.0,53.3,True,True,True,False,False,False
1001,2014,480000,37000,15.96,2523.0,62.1,False,True,True,False,False,True
1002,2018,950000,57000,25.1,1248.0,88.5,False,True,True,True,False,False
1003,2011,300000,110000,16.2,1493.0,110.0,False,True,True,True,False,False
1004,2006,170000,110000,13.9,1599.0,103.2,True,True,True,False,True,False
1005,2013,850000,120000,12.99,2494.0,100.57,False,True,True,True,False,True
1006,2019,900000,8079,24.7,1047.0,69.0,False,False,True,False,False,False
1008,2012,350000,79990,17.8,1399.0,67.0,False,False,True,True,False,False
1009,2012,425000,81632,20.0,1399.0,68.0,False,False,True,False,False,False
1010,2016,600000,155201,26.1,1498.0,99.23,False,False,True,False,False,False
1011,2014,750000,101504,22.7,1498.0,89.84,False,False,True,False,False,False
1012,2012,450000,90165,17.8,1399.0,67.0,False,False,True,False,False,False
1013,2010,325000,86017,25.5,1498.0,99.23,False,False,True,True,False,False
1014,2013,900000,85036,15.1,2179.0,140.0,False,False,True,True,False,True
1016,2013,600000,125531,22.77,1498.0,98.59,False,False,True,True,False,False
1017,2019,1100000,10000,17.0,1591.0,121.3,True,True,True,False,False,False
1018,2017,520000,20000,23.84,1199.0,84.0,True,True,True,False,False,False
1019,2015,885000,170000,15.4,2179.0,120.0,False,True,True,False,False,True
1020,2018,950000,40000,21.5,1497.0,108.5,False,True,False,False,False,False
1021,2008,229999,120000,17.0,1497.0,118.0,True,True,True,True,False,False
1022,2013,409999,100000,23.2,1248.0,73.94,False,True,True,False,True,False
1023,2011,300000,110000,17.8,1399.0,68.0,False,True,True,False,True,False
1024,2008,175000,120000,16.8,1405.0,68.0,False,True,True,False,True,False
1026,2017,425000,40000,23.1,998.0,67.04,True,True,True,True,False,False
1027,2011,272000,170000,16.52,1991.0,123.7,False,True,True,False,True,False
1028,2013,310000,70000,19.81,1086.0,68.05,True,True,True,False,False,False
1029,2017,1125000,105000,21.38,1396.0,88.7,False,True,True,False,False,False
1030,2014,450000,46000,19.1,1197.0,81.86,True,True,True,True,False,False
1031,2011,388000,80000,22.07,1199.0,73.9,False,True,True,True,False,False
1032,2011,400000,60000,16.2,1599.0,103.2,True,True,True,False,False,False
1033,2015,760000,70000,25.1,1498.0,98.6,False,True,True,False,True,False
1034,2009,120000,90000,19.7,796.0,46.3,True,True,True,False,False,False
1035,2019,757000,25000,28.4,1248.0,74.02,False,True,True,False,False,False
1036,2015,270000,53000,22.74,796.0,47.3,True,True,True,True,False,False
1037,2011,250000,90000,13.55,2179.0,118.35,False,True,True,True,False,True
1038,2011,800000,60000,12.8,2494.0,102.0,False,True,True,False,False,True
1040,2014,700000,24000,16.55,2498.0,105.0,False,True,True,False,False,True
1041,2016,450000,100000,24.2,1498.0,98.6,False,True,True,True,False,True
1042,2018,650000,6000,18.15,1198.0,82.0,True,True,True,False,False,True
1043,2013,950000,49700,15.1,2179.0,140.0,False,True,True,False,False,True
1044,2007,626000,80000,12.8,2494.0,102.0,False,True,True,True,False,True
1046,2019,600000,10000,21.21,1197.0,81.8,True,True,False,False,False,False
1047,2019,290000,21000,25.17,799.0,53.3,True,True,True,False,False,False
1048,2013,215000,25000,20.92,998.0,67.1,True,True,True,False,False,False
1049,2016,250000,22000,25.17,799.0,53.3,True,True,True,False,False,False
1050,2017,750000,50000,24.52,1248.0,88.5,False,True,True,False,False,True
1051,2016,250000,20000,23.95,998.0,67.05,True,True,True,True,False,False
1052,2017,950000,15000,15.4,1497.0,117.3,True,True,False,False,False,True
1053,2018,793000,30000,25.83,1498.0,99.0,False,True,True,False,False,False
1054,2015,750000,74000,19.67,1582.0,126.2,False,True,True,False,False,False
1055,2017,725000,6550,18.2,1199.0,88.7,True,True,False,False,False,False
1056,2016,480000,30000,24.0,1120.0,70.0,False,True,True,False,False,False
1058,2018,795000,41779,21.21,1197.0,81.8,True,False,True,False,False,False
1059,2016,625000,54000,18.7,1199.0,88.7,True,False,True,False,False,False
1061,2017,625000,37000,26.8,1248.0,74.0,False,True,False,False,False,False
1062,2011,440000,90000,18.1,1991.0,147.9,False,True,False,True,False,False
1068,2017,844999,70000,28.09,1248.0,88.5,False,False,True,False,False,False
1069,2016,650000,99000,21.66,1498.0,103.52,False,False,False,False,False,False
1070,2018,750000,15000,22.0,1197.0,81.8,True,False,True,False,False,False
1072,2015,610000,30000,18.7,1199.0,88.7,True,False,True,False,False,False
1074,2017,1150000,63309,19.67,1582.0,126.2,False,False,True,False,False,False
1076,2018,890000,29000,17.4,1197.0,81.86,True,False,False,False,False,False
1153,2017,385000,155000,25.0,1396.0,69.01,False,True,True,False,False,False
1154,2016,400000,35000,23.1,998.0,67.04,True,True,False,False,False,False
1155,2018,550000,50000,24.0,1186.0,73.97,False,True,True,False,False,False
1156,2010,270000,185000,14.8,2499.0,80.0,False,True,True,False,False,True
1157,2013,200000,175000,19.09,1396.0,69.0,False,True,True,True,False,False
1158,2016,310000,11500,25.17,799.0,53.3,True,True,True,False,False,False
1159,2019,700000,3000,25.4,1186.0,73.97,False,True,True,False,False,False
1160,2015,480000,80000,22.1,1248.0,74.0,False,True,True,True,False,False
1161,2005,90000,40000,19.7,796.0,46.3,True,True,True,True,False,False
1162,2005,80000,40000,19.7,796.0,46.3,True,True,True,True,False,False
1163,2015,350000,90000,23.2,1248.0,73.94,False,True,True,False,False,False
1164,2017,600000,100000,23.65,1248.0,88.5,False,True,True,False,False,False
1165,2011,350000,120000,13.5,2179.0,115.0,False,True,True,False,True,False
1166,2018,770000,50000,24.3,1248.0,88.5,False,True,True,False,False,False
1167,2012,350000,25000,21.03,1461.0,65.0,False,True,True,False,False,False
1168,2011,600000,50000,12.05,2179.0,120.0,False,True,True,False,True,True
1169,2016,750000,71000,18.49,1493.0,100.0,False,True,True,False,False,True
1170,2016,340000,40000,20.51,998.0,67.04,True,True,True,False,False,False
1171,2018,650000,31800,18.6,1197.0,81.86,True,True,True,False,False,False
1172,2014,300000,65000,20.36,1197.0,78.9,True,True,True,False,False,False
1173,2014,204999,15000,22.74,796.0,47.3,True,True,True,True,False,False
1174,2012,254999,70000,20.8,1461.0,65.0,False,True,True,True,False,False
1175,2017,650000,5000,18.16,1196.0,86.8,True,True,True,False,False,False
1176,2017,280000,50000,21.1,814.0,55.2,True,True,True,True,False,False
1177,2011,100000,80000,17.2,1396.0,53.5,False,True,True,False,False,False
1178,2014,575000,70000,13.58,2499.0,72.4,False,True,True,True,False,True
1179,2017,780000,40000,24.3,1248.0,88.5,False,True,True,False,False,False
1180,2013,467000,157000,15.96,2523.0,62.1,False,True,True,False,False,True
1181,2015,1050000,90000,15.4,2179.0,120.0,False,True,True,False,False,True
1182,2011,225000,80000,19.81,1086.0,68.05,True,True,True,True,False,False
1186,2012,260000,70000,21.03,1461.0,65.0,False,True,True,True,False,False
1187,2009,90000,50000,16.0,995.0,63.0,True,True,True,True,False,False
1188,2012,280000,60000,20.0,1399.0,68.0,False,True,True,False,False,False
1189,2014,350000,106000,20.8,1461.0,65.0,False,True,True,True,False,False
1190,2006,229999,80000,10.5,2179.0,120.0,False,True,True,True,False,True
1191,2016,550000,80000,15.96,2523.0,63.0,False,True,True,True,False,True
1192,2013,850000,110000,12.99,2494.0,100.0,False,True,True,True,False,True
1193,2011,370000,120000,13.6,2523.0,63.0,False,True,True,False,True,True
1194,2013,250000,27000,20.92,998.0,67.1,True,True,True,False,False,False
1195,2007,95000,70000,19.7,796.0,46.3,True,True,True,True,False,False
1196,2010,180000,70000,18.9,1061.0,67.0,True,True,True,True,False,False
1197,2016,650000,50000,17.45,1493.0,100.0,False,True,False,False,False,True
1198,2018,530000,60000,25.4,1186.0,73.97,False,True,True,False,False,False
1199,2017,610000,15000,22.0,1197.0,81.8,True,True,True,False,False,False
1201,2010,265000,135000,14.0,2498.0,112.0,False,True,True,False,False,True
1202,2018,560000,26300,23.84,1199.0,84.0,True,True,True,False,False,False
1203,2014,430000,120000,15.96,2523.0,62.1,False,True,True,False,False,True
1204,2017,711000,35000,28.4,1248.0,74.02,False,True,True,False,False,False
1205,2015,511000,30000,20.85,1197.0,83.14,True,True,True,False,False,False
1206,2012,450000,165000,15.96,2523.0,62.1,False,True,True,False,False,True
1207,2015,325000,50000,17.57,1193.0,88.7,True,True,True,False,False,False
1208,2013,434999,120000,21.64,1461.0,84.8,False,True,True,False,False,False
1209,2010,210000,100000,20.0,1399.0,68.0,False,True,True,True,False,False
1211,2007,160000,120000,15.0,1586.0,104.68,True,True,True,True,False,False
1212,2017,650000,70000,17.5,1373.0,91.1,True,True,True,True,False,True
1214,2014,320000,72000,18.6,1197.0,81.83,True,True,True,False,False,False
1215,2017,290000,50000,23.01,999.0,67.0,True,True,True,False,False,False
1217,2013,80000,30000,25.4,624.0,37.48,True,True,True,False,False,False
1218,2017,1100000,20000,14.1,2179.0,147.94,False,True,True,False,False,True
1219,2015,600000,110000,26.21,1248.0,88.5,False,True,True,False,False,False
1220,2017,340000,25000,25.17,799.0,53.3,True,True,True,False,False,False
1221,2014,750000,120000,12.99,2494.0,100.6,False,True,True,False,False,True
1222,2006,100000,40000,19.7,796.0,46.3,True,True,True,False,False,False
1223,2019,395000,10000,25.17,799.0,53.3,True,True,True,False,False,False
1224,2010,200000,65000,18.9,1061.0,67.0,True,True,True,False,False,False
1226,2012,180000,110000,13.87,1390.0,75.0,True,True,True,True,False,False
1227,2008,190000,120000,13.6,2523.0,63.0,False,True,True,True,False,True
1228,2015,310000,72000,15.37,1196.0,73.0,True,True,True,False,False,False
1229,2014,351000,89100,23.2,1248.0,73.94,False,True,True,True,False,False
1230,2006,190000,94000,17.4,1599.0,104.0,True,True,True,True,False,False
1231,2015,225000,120000,21.1,814.0,55.2,True,True,True,True,False,False
1232,2012,130000,110000,16.2,995.0,62.1,True,True,True,False,False,False
1233,2018,1000000,50000,28.09,1248.0,88.5,False,True,True,False,False,False
1234,2004,55000,90000,16.8,1405.0,62.0,False,True,True,False,True,False
1235,2014,330000,23000,18.2,1199.0,82.4,True,True,True,False,False,False
1236,2013,166000,50000,16.8,796.0,34.2,True,True,True,False,False,False
1237,2013,200000,300000,14.0,2498.0,112.0,False,True,True,False,False,True
1238,2011,140000,50000,20.92,998.0,67.1,True,True,True,False,True,False
1240,2019,720000,16000,17.4,1197.0,81.86,True,True,False,False,False,False
1241,2015,500000,126000,21.19,1396.0,88.73,False,True,True,False,False,False
1242,2019,570000,15000,20.14,1197.0,81.86,True,True,True,False,False,False
1243,2010,210000,200000,17.5,1197.0,85.8,True,True,True,False,False,False
1244,2009,120000,120000,19.7,796.0,46.3,True,True,True,False,False,False
1245,2005,95000,120000,15.3,1341.0,83.0,True,True,True,False,True,False
1246,2010,196000,110000,16.95,1197.0,78.9,True,True,False,False,True,False
1247,2016,392000,38000,15.37,1196.0,73.0,True,True,True,False,False,False
1248,2010,150000,104000,15.0,1368.0,90.0,True,True,True,False,False,False
1249,2017,595000,120000,15.4,1497.0,117.3,True,True,True,False,False,True
1250,2018,833000,35000,24.3,1248.0,88.5,False,True,False,False,False,False
1251,2011,280000,210000,22.9,1248.0,74.0,False,True,True,False,False,False
1252,2003,35000,35000,16.1,796.0,37.0,True,True,True,True,False,False
1253,2009,180000,85000,21.1,1248.0,73.9,False,True,True,False,True,False
1254,2012,225000,80000,18.9,998.0,67.1,True,True,True,False,False,False
1256,2009,340000,40000,23.0,1396.0,90.0,False,True,True,False,False,False
1257,2010,550000,216000,12.8,2494.0,102.0,False,True,True,False,False,True
1258,2017,400000,65000,20.51,998.0,67.04,True,True,True,True,False,False
1259,2006,90000,100000,15.3,1341.0,83.0,True,True,True,False,True,False
1260,2015,650000,84000,28.09,1248.0,88.5,False,True,True,False,False,False
1261,2012,730000,210000,12.99,2494.0,100.0,False,True,True,False,False,True
1262,2010,125000,60000,15.26,1150.0,74.9,True,True,True,False,False,False
1263,2006,81000,100000,15.3,1341.0,83.0,True,True,True,False,True,False
1264,2007,170000,78000,16.1,1298.0,88.2,True,True,True,True,False,False
1265,2002,81000,161000,13.0,1493.0,100.0,True,True,True,False,True,False
1266,2005,95000,70000,19.7,796.0,46.3,True,True,True,False,True,False
1267,2010,55000,50000,26.0,624.0,35.0,True,True,True,False,True,False
1268,2017,880000,65000,19.98,1461.0,108.5,False,True,True,False,False,True
1269,2015,200000,50000,25.17,799.0,53.3,True,True,True,False,False,False
1270,2019,480000,25000,20.52,1197.0,81.8,True,True,True,False,False,False
1271,2013,480000,100000,15.96,2523.0,62.1,False,True,True,False,False,True
1272,2018,700000,6000,18.6,1197.0,81.83,True,True,True,False,False,False
1273,2016,850000,72113,21.9,1498.0,98.6,False,True,True,False,False,True
1274,2012,300000,40000,23.57,1396.0,70.0,False,True,True,False,False,False
1275,2017,650000,8000,18.6,1197.0,81.83,True,True,True,False,False,False
1276,2010,220000,20000,21.1,1197.0,85.8,True,True,True,False,False,False
1277,2014,300000,45000,19.09,1405.0,69.01,False,True,True,False,False,False
1278,2014,450000,80000,23.4,1248.0,74.0,False,True,True,False,False,False
1279,2014,400000,90000,25.2,1248.0,74.0,False,True,True,False,False,False
1280,2018,1030000,25000,25.1,1248.0,88.5,False,True,True,False,False,False
1281,2010,190000,100000,18.8,1248.0,90.0,False,True,True,True,False,False
1282,2006,140000,60000,16.6,1388.0,68.0,True,True,True,True,False,False
1283,2018,800000,30000,21.19,1396.0,88.76,False,True,True,False,False,False
1284,2007,229999,120000,10.5,2609.0,120.0,False,True,True,False,True,True
1285,2011,300000,80000,13.93,2179.0,138.03,False,True,True,True,False,True
1286,2011,375000,69000,20.54,1598.0,103.6,False,True,True,True,False,False
1287,2010,140000,75000,18.6,1199.0,79.4,True,True,True,False,False,False
1288,2004,60000,113000,19.7,796.0,46.3,True,True,True,True,False,False
1289,2014,420000,90000,24.4,1120.0,71.01,False,True,True,True,False,False
1290,2012,300000,100000,23.08,1461.0,63.12,False,True,True,False,True,False
1291,2012,150000,110000,22.3,1248.0,74.0,False,True,True,False,False,False
1292,2015,600000,90000,22.77,1498.0,98.59,False,True,True,False,False,False
1293,2011,204999,100000,20.0,1399.0,68.0,False,True,True,True,False,False
1294,2017,625000,50000,25.4,1186.0,73.97,False,True,True,False,False,False
1295,2011,280000,200000,20.5,1248.0,91.7,False,True,True,False,False,False
1296,2014,1050000,146000,13.01,2199.0,194.3,False,True,False,True,False,True
1297,2009,250000,80000,12.9,1598.0,102.5,True,True,True,True,False,False
1298,2010,535000,96443,11.57,2179.0,138.1,False,True,True,True,False,True
1299,2009,400000,100000,11.7,2354.0,177.6,True,True,False,True,False,False
1300,2019,610000,10000,21.21,1197.0,81.8,True,True,False,False,False,False
1301,2014,509999,110000,23.4,1248.0,74.0,False,True,True,False,False,False
1302,2014,521000,86000,14.0,2179.0,138.1,False,True,True,True,False,True
1303,2014,511000,100000,23.4,1248.0,74.0,False,True,True,False,False,False
1304,2014,451000,91000,22.54,1396.0,88.73,False,True,True,False,False,False
1305,2009,170000,100000,20.36,1197.0,78.9,True,True,True,False,False,False
1306,2013,450000,120000,23.4,1248.0,74.0,False,True,True,True,False,False
1307,2011,375000,90000,17.0,1497.0,118.0,True,True,True,True,False,False
1308,2016,305000,60000,22.74,796.0,47.3,True,True,True,True,False,False
1309,2016,315000,51500,25.17,799.0,53.3,True,True,True,False,False,False
1310,2016,250000,60000,22.1,1248.0,74.0,False,True,True,True,False,False
1311,2012,200000,104500,20.0,1399.0,68.0,False,True,True,True,False,False
1313,2012,400000,120000,19.01,1461.0,108.45,False,True,True,False,True,False
1314,2014,509999,100000,22.9,1248.0,74.0,False,True,True,True,False,False
1315,2008,375000,90000,13.5,1799.0,130.0,True,True,True,False,True,False
1316,2005,150000,150000,18.9,998.0,67.1,True,True,True,False,True,False
1317,2006,75000,60000,18.9,998.0,67.1,True,True,False,False,False,False
1318,2015,465000,50000,17.43,1396.0,105.5,True,True,True,True,False,False
1319,2019,700000,10000,24.0,1186.0,73.97,False,True,True,False,False,False
1320,2015,950000,120000,15.4,1997.0,120.0,False,True,True,False,True,True
1321,2017,610000,40000,18.6,1197.0,81.83,True,True,True,False,False,False
1323,2014,235000,50000,22.74,796.0,47.3,True,True,True,False,False,False
1324,2017,330000,90000,15.37,1196.0,73.0,True,True,True,False,False,False
1325,2014,472000,90000,20.45,1461.0,83.8,False,True,True,False,False,False
1326,2019,585000,10000,21.21,1197.0,81.8,True,True,True,False,False,False
1327,2018,500000,10000,23.5,909.0,45.0,False,True,True,False,False,True
1328,2019,360000,27000,23.95,998.0,67.05,True,True,True,False,False,False
1329,2016,649000,70000,26.59,1248.0,74.0,False,True,True,False,False,False
1330,2017,200000,50000,16.8,796.0,34.2,True,True,True,False,False,False
1332,2014,400000,110000,24.0,1120.0,70.0,False,True,True,False,False,False
1333,2015,250000,100000,27.62,793.0,47.0,False,True,True,True,False,False
1334,2018,1200000,50000,17.3,1497.0,121.0,False,True,True,False,False,True
1335,2009,250000,105000,17.8,1248.0,75.0,False,True,True,True,False,False
1336,2013,819999,110000,12.99,2494.0,100.6,False,True,True,False,False,True
1337,2014,800000,60000,15.1,2179.0,140.0,False,True,True,True,False,True
1338,2013,429000,49102,18.88,999.0,123.37,True,False,True,True,False,False
1339,2010,150000,60000,17.92,1086.0,62.1,True,True,True,False,True,False
